ID,Crop_Group,Production_Mode,Crop,Field_area,Irrigation,Irrigation_mode,Greenhouse
1,Vegetable,In succession,Zucchini,2,No,NA,Small tunel
2,Vegetable,Primary,Tomato,2,No,NA,Small tunel
3,Vegetable,Primary,Zucchini,0.75,No,NA,No
4,Vegetable,Primary,Mint,0.1,Yes,Localized,No
5,Vegetable,In succession,Zucchini,1.75,Yes,Gravity,No
6,Vegetable,Primary,Zucchini,0.9,Yes,Localized,No
7,Vegetable,Primary,Potato,1.75,Yes,Gravity,No
8,Vegetable,Primary,Tomato,0.75,Yes,Gravity,No
9,Vegetable,Primary,Green bean,0.25,Yes,Gravity,No
10,Vegetable,In succession,Zucchini,2,Yes,Localized,No
11,Vegetable,Primary,Tomato,2,Yes,Localized,No
12,Vegetable,In succession,Zucchini,2,Yes,Localized,No
13,Vegetable,Primary,Tomato,2,Yes,Localized,No
14,Vegetable,Primary,Zucchini,1.4,Yes,Localized,No
15,Vegetable,Primary,Zucchini,0.5,No,NA,No
16,Vegetable,In succession,Zucchini,1.9,No,NA,No
17,Vegetable,Primary,Tomato,1.9,No,NA,No
18,Vegetable,Primary,Potato,1,Yes,Localized,No
19,Vegetable,In succession,Zucchini,12.74,Yes,Gravity,No
20,Vegetable,Primary,Potato,12.74,Yes,Gravity,No
21,Vegetable,In succession,Zucchini,1.7,No,NA,No
22,Vegetable,Primary,Zucchini,0.9,Yes,Localized,No
23,Vegetable,Primary,Tomato,1.7,No,NA,No
24,Vegetable,Primary,Zucchini,1.5,No,NA,No
25,Vegetable,Primary,Zucchini,1.4,No,NA,No
26,Vegetable,Primary,Zucchini,1.1,No,NA,No
27,Vegetable,Primary,Zucchini,0.9,No,NA,No
28,Vegetable,Primary,Zucchini,1.6,No,NA,No
29,Vegetable,In succession,Zucchini,2.9,No,NA,No
30,Vegetable,Primary,Potato,2.9,No,NA,No
31,Vegetable,Primary,Zucchini,0.4,Yes,Localized,No
32,Vegetable,Primary,Potato,1,Yes,Gravity,No
33,Vegetable,Primary,Zucchini,0.75,Yes,Gravity,No
34,Vegetable,Primary,Cauliflower,0.5,Yes,Gravity,No
35,Vegetable,Primary,Zucchini,0.37,Yes,Localized,No
36,Vegetable,In succession,Zucchini,2.7,No,NA,No
37,Vegetable,Primary,Tomato,2.7,No,NA,No
38,Vegetable,Primary,Zucchini,0.26,No,NA,No
39,Vegetable,In succession,Zucchini,2.9,No,NA,No
40,Vegetable,Primary,Potato,2.9,No,NA,No
41,Vegetable,Primary,Zucchini,1.1,Yes,Localized,No
42,Vegetable,In association,Zucchini,1,No,NA,No
43,Vegetable,Primary,Potato,0.75,Yes,Aspersion,No
44,Vegetable,In succession,Onion,2,No,Aspersion,No
45,Vegetable,Primary,Tomato,2,No,Aspersion,No
46,Vegetable,Primary,Blueberry,0.33,Yes,Localized,Small tunel
47,Vegetable,Primary,Zucchini,1.25,No,NA,No
48,Vegetable,Primary,Zucchini,1.5,Yes,Localized,No
49,Vegetable,In succession,Zucchini,7,Yes,Localized,No
50,Vegetable,Primary,Potato,7,Yes,Localized,No
51,Vegetable,Primary,Zucchini,0.4,No,NA,No
52,Vegetable,Understory,Potato,0.1,Yes,Localized,No
53,Vegetable,In succession,Green bean,2.5,Yes,Localized,No
54,Vegetable,In succession,Tomato,2.1,Yes,Localized,No
55,Vegetable,In succession,Carrot,2,Yes,Localized,No
56,Vegetable,In succession,Tomato,2,Yes,Localized,No
57,Vegetable,Primary,Potato,2.5,Yes,Localized,No
58,Vegetable,Primary,Potato,2.1,Yes,Localized,No
59,Vegetable,Primary,Tomato,2,Yes,Localized,No
60,Vegetable,In succession,Zucchini,2.5,No,NA,No
61,Vegetable,Primary,Zucchini,0.94,No,NA,No
62,Vegetable,Primary,Zucchini,0.37,No,NA,No
63,Vegetable,Primary,Zucchini,0.16,No,NA,No
64,Vegetable,Primary,Tomato,2.5,No,NA,No
65,Vegetable,In succession,Zucchini,4.5,Yes,Localized,No
66,Vegetable,Primary,Potato,4.5,Yes,Localized,No
67,Vegetable,Primary,Zucchini,0.5,Yes,Localized,No
68,Vegetable,Primary,Potato,0.75,Yes,Localized,No
69,Vegetable,In succession,Green bean,1.75,Yes,Localized,No
70,Vegetable,Primary,Tomato,1.75,Yes,Localized,No
71,Vegetable,Primary,Zucchini,1.5,No,NA,No
72,Vegetable,Primary,Green bean,0.75,No,Localized,No
73,Vegetable,Primary,Green bean,0.49,No,Localized,No
74,Vegetable,Primary,Coriander and parsley,1.6,Yes,Gravity,No
75,Vegetable,Primary,Coriander and parsley,0.5,Yes,Localized,No
76,Vegetable,Primary,Zucchini,1,No,NA,No
77,Vegetable,In association,Potato,0.75,Yes,Localized,No
78,Vegetable,Primary,Potato,1.25,No,NA,No
79,Vegetable,Primary,Potato,2,Yes,Localized,No
80,Vegetable,Primary,Zucchini,0.5,Yes,Localized,No
81,Vegetable,Primary,Tomato,0.5,Yes,Localized,No
82,Vegetable,Primary,Tomato,1.5,Yes,Localized,No
83,Vegetable,Primary,Potato,1.44,Yes,Localized,No
84,Vegetable,In succession,Green bean,2.15,Yes,Localized,No
85,Vegetable,Primary,Potato,2.15,Yes,Localized,No
86,Vegetable,Primary,Cucumber,0.3,Yes,Localized,Canarian
87,Vegetable,In succession,Green bean,0.76,Yes,Localized,No
88,Vegetable,Primary,Potato,0.76,Yes,Localized,No
89,Vegetable,In succession,Cucumber,0.9,Yes,Localized,No
90,Vegetable,Primary,Zucchini,0.16,Yes,Localized,No
91,Vegetable,Primary,Green bean,0.9,Yes,Localized,No
92,Vegetable,In succession,Green bean,3.25,Yes,Localized,No
93,Vegetable,Primary,Potato,3.25,Yes,Localized,No
94,Vegetable,Primary,Tomato,0.25,Yes,Localized,Small tunel
95,Vegetable,Primary,Zucchini,0.75,Yes,Localized,No
96,Vegetable,In succession,Potato,0.9,Yes,Localized,No
97,Vegetable,Primary,Zucchini,0.9,Yes,Localized,No
98,Vegetable,Primary,Tomato,0.5,Yes,Localized,No
99,Vegetable,Primary,Potato,1,Yes,Localized,No
100,Vegetable,In association,Green bean,1,Yes,Localized,No
101,Vegetable,Primary,Tomato,2,Yes,Localized,No
102,Vegetable,Primary,Potato,2.5,Yes,Localized,No
103,Vegetable,Primary,Coriander and parsley,0.5,Yes,Localized,No
104,Vegetable,Primary,Potato,1.5,Yes,Localized,No
105,Vegetable,Primary,Green bean,1.2,Yes,Localized,Multi-chapel
106,Vegetable,Primary,Cucumber,1,Yes,Localized,No
107,Vegetable,In succession,Green bean,0.85,Yes,Gravity,No
108,Vegetable,In succession,Zucchini,0.85,Yes,Gravity,No
109,Vegetable,Primary,Potato,0.85,Yes,Gravity,No
110,Vegetable,Primary,Potato,1.3,Yes,Localized,No
111,Vegetable,Primary,Potato,2,Yes,Localized,No
112,Vegetable,Primary,Coriander and parsley,0.1,Yes,Localized,No
113,Vegetable,Primary,Coriander and parsley,1.38,Yes,Localized,No
114,Vegetable,Primary,Potato,1,Yes,Localized,No
115,Vegetable,Primary,Potato,1.5,Yes,Localized,No
116,Vegetable,Primary,Coriander and parsley,0.5,Yes,Localized,No
117,Vegetable,Primary,Potato,1.65,Yes,Localized,No
118,Vegetable,Primary,Tomato,1.1,Yes,Localized,No
119,Vegetable,Primary,Potato,0.8,Yes,Localized,No
120,Vegetable,Primary,Zucchini,0.1,Yes,Localized,No
121,Vegetable,Primary,Potato,0.4,Yes,Localized,No
122,Vegetable,Primary,Zucchini,0.2,Yes,Localized,No
123,Vegetable,Primary,Potato,0.5,Yes,Localized,No
124,Vegetable,In succession,Zucchini,2.58,Yes,Localized,No
125,Vegetable,Primary,Tomato,2.58,Yes,Localized,No
126,Vegetable,In succession,Zucchini,1.7,Yes,Localized,No
127,Vegetable,Primary,Tomato,1.7,Yes,Localized,No
128,Vegetable,Primary,Potato,1.45,Yes,Localized,No
129,Vegetable,Primary,Green bean,1.16,Yes,Localized,No
130,Vegetable,Primary,Potato,3.9,No,Localized,No
131,Vegetable,In succession,Zucchini,2.3,No,NA,No
132,Vegetable,Primary,Tomato,2.3,No,NA,No
133,Vegetable,Primary,Cucumber,0.5,Yes,Localized,Small tunel
134,Vegetable,Primary,Kiwat tomato,0.5,Yes,Localized,Small tunel
135,Vegetable,Primary,Green bean,0.2,Yes,Localized,Small tunel
136,Vegetable,Primary,Green bean,1,Yes,Localized,No
137,Vegetable,Primary,Tomato,0.3,Yes,Localized,No
138,Vegetable,Primary,Coriander and parsley,0.3,Yes,Localized,No
